"id","organization_id","url","type","species","age","gender","size","name","breeds.primary"
47620388,"CA457","<a href='https://www.petfinder.com/cat/shasta-47620388/ca/parlier/the-cat-house-on-the-kings-ca457/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Baby","Female","Small","Shasta","Turkish Angora"
47620127,"CA1110","<a href='https://www.petfinder.com/dog/jax-47620127/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Extra Large","JAX","Belgian Shepherd / Malinois"
47620017,"CA2390","<a href='https://www.petfinder.com/dog/redfox-47620017/ca/fresno/fresno-humane-animal-services-ca2390/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Redfox","Siberian Husky"
47619177,"CA717","<a href='https://www.petfinder.com/cat/candelaria-47619177/ca/tracy/animal-rescue-of-tracy-ca717/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Large","Candelaria","Domestic Short Hair"
47619150,"CA717","<a href='https://www.petfinder.com/cat/opie-47619150/ca/tracy/animal-rescue-of-tracy-ca717/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Large","Opie","Domestic Short Hair"
47619408,"CA1110","<a href='https://www.petfinder.com/dog/dora-47619408/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","DORA","Poodle"
47619381,"CA149","<a href='https://www.petfinder.com/dog/coqueta-47619381/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","COQUETA","Pit Bull Terrier"
47619382,"CA149","<a href='https://www.petfinder.com/dog/chipirrin-47619382/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","CHIPIRRIN","Terrier"
47619269,"CA628","<a href='https://www.petfinder.com/dog/marco-47619269/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Small","Marco","Terrier"
47618853,"CA2390","<a href='https://www.petfinder.com/dog/alexis-47618853/ca/fresno/fresno-humane-animal-services-ca2390/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Alexis","Shepherd"
47618579,"CA149","<a href='https://www.petfinder.com/dog/a288510-47618579/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","A288510","Siberian Husky"
47618580,"CA149","<a href='https://www.petfinder.com/dog/a288242-47618580/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","A288242","Labrador Retriever"
47618344,"CA717","<a href='https://www.petfinder.com/cat/margot-47618344/ca/tracy/animal-rescue-of-tracy-ca717/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Baby","Female","Large","Margot","Domestic Short Hair"
47618263,"CA717","<a href='https://www.petfinder.com/cat/alexis-47618263/ca/tracy/animal-rescue-of-tracy-ca717/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Large","Alexis","Domestic Short Hair"
47617796,"CA1225","<a href='https://www.petfinder.com/cat/0304-2019-47617796/ca/turlock/friends-of-turlock-animals-ca1225/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Large","0304-2019","Domestic Short Hair"
47617779,"CA1225","<a href='https://www.petfinder.com/cat/1210-1914-47617779/ca/turlock/friends-of-turlock-animals-ca1225/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Large","1210-1914","Domestic Short Hair"
47617716,"CA1225","<a href='https://www.petfinder.com/cat/1210-1913-47617716/ca/turlock/friends-of-turlock-animals-ca1225/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Large","1210-1913","Domestic Short Hair"
47617154,"CA2200","<a href='https://www.petfinder.com/dog/sawyer-47617154/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Sawyer","Terrier"
47617094,"CA1110","<a href='https://www.petfinder.com/dog/a540030-47617094/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Medium","A540030","Pit Bull Terrier"
47617095,"CA1110","<a href='https://www.petfinder.com/dog/a540040-47617095/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Medium","A540040","German Shepherd Dog"
47617092,"CA1110","<a href='https://www.petfinder.com/dog/a540036-47617092/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","A540036","German Shepherd Dog"
47617093,"CA1110","<a href='https://www.petfinder.com/dog/lexie-47617093/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Small","LEXIE","Parson Russell Terrier"
47616941,"CA2200","<a href='https://www.petfinder.com/dog/dom-47616941/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Dom","Chihuahua"
47616874,"CA2200","<a href='https://www.petfinder.com/dog/sassy-47616874/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","Sassy","Mixed Breed"
47616064,"CA2291","<a href='https://www.petfinder.com/cat/jessamy-47616064/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Medium","Jessamy","Domestic Short Hair"
47616063,"CA2291","<a href='https://www.petfinder.com/dog/viola-47616063/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Viola","Rat Terrier"
47616059,"CA2291","<a href='https://www.petfinder.com/cat/minnie-47616059/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Small","MINNIE","Domestic Short Hair"
47616062,"CA2291","<a href='https://www.petfinder.com/cat/mamie-47616062/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Small","MAMIE","Calico"
47616065,"CA2291","<a href='https://www.petfinder.com/cat/geralt-47616065/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Baby","Male","Small","GERALT","Domestic Short Hair"
47616060,"CA2291","<a href='https://www.petfinder.com/cat/fargo-47616060/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Baby","Male","Medium","FARGO","Domestic Short Hair"
47616061,"CA2291","<a href='https://www.petfinder.com/cat/elliott-47616061/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Small","ELLIOTT","Domestic Medium Hair"
47614854,"CA717","<a href='https://www.petfinder.com/dog/rosie-47614854/ca/tracy/animal-rescue-of-tracy-ca717/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Medium","Rosie","Pit Bull Terrier"
47614774,"CA249","<a href='https://www.petfinder.com/dog/mariah-47614774/ca/sonora/friends-of-the-animal-community-ca249/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Mariah","Labrador Retriever"
47614759,"CA249","<a href='https://www.petfinder.com/dog/bonnie-47614759/ca/sonora/friends-of-the-animal-community-ca249/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Bonnie","Border Collie"
47614672,"CA1110","<a href='https://www.petfinder.com/dog/spider-47614672/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","SPIDER","Siberian Husky"
47614674,"CA1110","<a href='https://www.petfinder.com/dog/a540033-47614674/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","A540033","Rottweiler"
47614673,"CA1110","<a href='https://www.petfinder.com/dog/a540068-47614673/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","A540068","Pit Bull Terrier"
47614675,"CA1110","<a href='https://www.petfinder.com/dog/snowy-47614675/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","SNOWY","Siberian Husky"
47614676,"CA1110","<a href='https://www.petfinder.com/dog/a540042-47614676/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","A540042","Foxhound"
47614306,"CA457","<a href='https://www.petfinder.com/cat/romeo-47614306/ca/parlier/the-cat-house-on-the-kings-ca457/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Senior","Male","Extra Large","Romeo","Maine Coon"
47614005,"CA1110","<a href='https://www.petfinder.com/dog/a540056-47614005/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Senior","Female","Small","A540056","Chihuahua"
47614004,"CA1110","<a href='https://www.petfinder.com/dog/a540049-47614004/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Small","A540049","Pit Bull Terrier"
47614006,"CA1110","<a href='https://www.petfinder.com/dog/pumpkin-47614006/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","PUMPKIN","Australian Cattle Dog / Blue Heeler"
47613752,"CA1598","<a href='https://www.petfinder.com/dog/macy-47613752/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","Macy","English Bulldog"
47613681,"CA1110","<a href='https://www.petfinder.com/dog/a540031-47613681/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","A540031","Yorkshire Terrier"
47613682,"CA1110","<a href='https://www.petfinder.com/cat/stash-47613682/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Medium","STASH","Domestic Short Hair"
47613413,"CA628","<a href='https://www.petfinder.com/dog/stu-47613413/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Medium","Stu","Cardigan Welsh Corgi"
47613095,"CA628","<a href='https://www.petfinder.com/dog/maeve-47613095/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Small","Maeve","Cairn Terrier"
47613094,"CA628","<a href='https://www.petfinder.com/dog/revis-47613094/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Revis","Great Pyrenees"
47613016,"CA855","<a href='https://www.petfinder.com/dog/dakota-47613016/ca/stockton/pups-rescue-ca855/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Medium","Dakota","Labrador Retriever"
47613012,"CA229","<a href='https://www.petfinder.com/dog/mia-mimi-47613012/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","Mia (mimi)","Pit Bull Terrier"
47612987,"CA855","<a href='https://www.petfinder.com/dog/charlie-47612987/ca/stockton/pups-rescue-ca855/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Medium","Charlie","Chocolate Labrador Retriever"
47612877,"CA855","<a href='https://www.petfinder.com/dog/demi-47612877/ca/stockton/pups-rescue-ca855/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Medium","Demi","Chocolate Labrador Retriever"
47612857,"CA855","<a href='https://www.petfinder.com/dog/autumn-47612857/ca/stockton/pups-rescue-ca855/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Medium","Autumn","Labrador Retriever"
47612615,"CA2390","<a href='https://www.petfinder.com/cat/dora-47612615/ca/fresno/fresno-humane-animal-services-ca2390/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Dora","Domestic Short Hair"
47612189,"CA149","<a href='https://www.petfinder.com/cat/a288009-47612189/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Medium","A288009","Domestic Short Hair"
47612190,"CA149","<a href='https://www.petfinder.com/dog/a287844-47612190/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Medium","A287844","Chihuahua"
47612027,"CA628","<a href='https://www.petfinder.com/dog/tre-47612027/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Tre","Pit Bull Terrier"
47611741,"CA1598","<a href='https://www.petfinder.com/dog/pendleton-47611741/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Large","Pendleton","Australian Shepherd"
47611740,"CA1598","<a href='https://www.petfinder.com/dog/corral-47611740/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Large","Corral","Australian Shepherd"
47611742,"CA1598","<a href='https://www.petfinder.com/dog/ariat-47611742/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Large","Ariat","Australian Shepherd"
47611739,"CA1598","<a href='https://www.petfinder.com/dog/durango-47611739/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Large","Durango","Australian Shepherd"
47611738,"CA1598","<a href='https://www.petfinder.com/dog/carthartt-47611738/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Large","Carthartt","Australian Shepherd"
47611675,"CA1110","<a href='https://www.petfinder.com/dog/buddy-47611675/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Medium","BUDDY","Pit Bull Terrier"
47611673,"CA1110","<a href='https://www.petfinder.com/dog/eddie-47611673/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","EDDIE","Pit Bull Terrier"
47611672,"CA1110","<a href='https://www.petfinder.com/dog/blackie-47611672/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","BLACKIE","Labrador Retriever"
47611674,"CA1110","<a href='https://www.petfinder.com/dog/maddy-boy-47611674/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","MADDY BOY","American Bulldog"
47611664,"CA492","<a href='https://www.petfinder.com/dog/a212921-47611664/ca/visalia/tulare-county-animal-services-ca492/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Medium","A212921","Australian Cattle Dog / Blue Heeler"
47611665,"CA492","<a href='https://www.petfinder.com/dog/a213019-47611665/ca/visalia/tulare-county-animal-services-ca492/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","A213019","Labrador Retriever"
47611666,"CA492","<a href='https://www.petfinder.com/dog/a212980-47611666/ca/visalia/tulare-county-animal-services-ca492/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","A212980","Border Collie"
47611575,"CA149","<a href='https://www.petfinder.com/dog/budda-47611575/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","BUDDA","Pit Bull Terrier"
47611577,"CA149","<a href='https://www.petfinder.com/dog/flaco-47611577/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","FLACO","German Shepherd Dog"
47611576,"CA149","<a href='https://www.petfinder.com/dog/a288546-47611576/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","A288546","Anatolian Shepherd"
47611349,"CA1598","<a href='https://www.petfinder.com/dog/levi-47611349/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Large","Levi","Australian Shepherd"
47611351,"CA1598","<a href='https://www.petfinder.com/dog/stetson-47611351/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Male","Large","Stetson","Australian Shepherd"
47611347,"CA1598","<a href='https://www.petfinder.com/dog/carolina-47611347/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Large","Carolina","Australian Shepherd"
47611348,"CA1598","<a href='https://www.petfinder.com/dog/abilene-47611348/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Large","Abilene","Australian Shepherd"
47611350,"CA1598","<a href='https://www.petfinder.com/dog/lucchese-47611350/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Large","Lucchese","Australian Shepherd"
47610964,"CA149","<a href='https://www.petfinder.com/dog/a288552-47610964/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","A288552","Pit Bull Terrier"
47610969,"CA149","<a href='https://www.petfinder.com/dog/hannah-47610969/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","HANNAH","Vizsla"
47610965,"CA149","<a href='https://www.petfinder.com/dog/a288433-47610965/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","A288433","Siberian Husky"
47610968,"CA149","<a href='https://www.petfinder.com/dog/a288548-47610968/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","A288548","Anatolian Shepherd"
47610967,"CA149","<a href='https://www.petfinder.com/dog/blackout-47610967/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","BLACKOUT","Pit Bull Terrier"
47610833,"CA628","<a href='https://www.petfinder.com/dog/candy-47610833/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Senior","Female","Small","Candy","Terrier"
47610832,"CA628","<a href='https://www.petfinder.com/dog/molly-47610832/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Senior","Female","Small","Molly","Dachshund"
47610203,"CA149","<a href='https://www.petfinder.com/dog/abagail-47610203/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","ABAGAIL","Pit Bull Terrier"
47610201,"CA149","<a href='https://www.petfinder.com/dog/a288531-47610201/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","A288531","German Shepherd Dog"
47610202,"CA149","<a href='https://www.petfinder.com/dog/charlie-47610202/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","CHARLIE","Saint Bernard"
47609984,"CA2390","<a href='https://www.petfinder.com/cat/willow-47609984/ca/fresno/fresno-humane-animal-services-ca2390/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Baby","Female","Small","Willow","Domestic Short Hair"
47609976,"CA628","<a href='https://www.petfinder.com/dog/emerald-47609976/ca/madera/madera-county-animal-control-ca628/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","Emerald","Parson Russell Terrier"
47609760,"CA249","<a href='https://www.petfinder.com/dog/miss-lady-47609760/ca/sonora/friends-of-the-animal-community-ca249/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Baby","Female","Small","Miss Lady","Yorkshire Terrier"
47609484,"CA457","<a href='https://www.petfinder.com/cat/cat-19551-47609484/ca/parlier/the-cat-house-on-the-kings-ca457/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Medium","Cat 19551","Calico"
47608628,"CA1110","<a href='https://www.petfinder.com/dog/suga-47608628/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","SUGA","Pit Bull Terrier"
47608623,"CA1110","<a href='https://www.petfinder.com/dog/turbo-47608623/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Medium","TURBO","Pit Bull Terrier"
47608625,"CA1110","<a href='https://www.petfinder.com/dog/a539912-47608625/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","A539912","Yorkshire Terrier"
47608626,"CA1110","<a href='https://www.petfinder.com/dog/a539930-47608626/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Medium","A539930","German Shepherd Dog"
